DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;MES;DPTO;fex_c_2011
5055479;1;2;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;584
5055479;1;3;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;584
5055479;1;4;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;584
5055480;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;818
5055480;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;1;2;2; ;2; ;2; ;05;11;05;818
5055480;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;818
5055481;1;1;1;90;2; ;1;2;1;1;2; ;2; ;2; ;1;20;2; ;2; ;2; ;05;11;05;586
5055481;1;2;1;90;2; ;1;26;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;586
5055481;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;586
5055481;1;4;1;90;2; ;1;3;2; ;2; ;2; ;2; ;1;10;2; ;2; ;2; ;05;11;05;586
5055481;1;5;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;586
5055482;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;1;6;2; ;2; ;05;11;05;1147
5055482;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1147
5055483;1;1;1;90;2; ;1;28;2; ;1;15;1;20;2; ;2; ;2; ;2; ;2; ;05;11;05;1526
5055483;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1526
5055484;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1110
5055484;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1110
5055484;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1110
5055484;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1110
5055485;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;1;10;2; ;2; ;2; ;05;11;05;1001
5055485;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1001
5055485;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1001
5055486;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1121
5055486;1;2;1;90;2; ;1;38;2; ;2; ;1;28;2; ;2; ;2; ;2; ;2; ;05;11;05;1121
5055486;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1121
5055487;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1032
5055487;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1032
5055487;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1032
5055488;1;1;1;90;2; ;1;35;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;784
5055488;1;2;1;90;2; ;2; ;1;3;1;9;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;784
5055488;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;784
5055488;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;784
5055488;1;5;1;90;2; ;1;14;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;784
5055488;1;6;1;90;2; ;1;20;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;784
5055488;1;8;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;784
5055488;1;9;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;784
5055489;1;1;1;90;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1147
5055489;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1147
5055490;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1147
5055490;1;2;1;90;2; ;1;26;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ;05;11;05;1147
5055491;1;1;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1043
5055491;1;2;1;90;2; ;1;2;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1043
5055492;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;744
5055492;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;744
5055492;1;3;1;90;2; ;1;30;1;2;2; ;1;10;2; ;2; ;2; ;2; ;2; ;05;11;05;744
5055493;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1043
5055493;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1043
5055494;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1523
5055494;1;2;1;90;2; ;1;16;2; ;2; ;2; ;2; ;2; ;1;20;2; ;2; ;05;11;05;1523
5055494;1;3;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1523
5055494;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1523
5055494;1;5;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1523
5055494;1;6;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1523
5055494;1;7;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1523
5055495;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1362
5055495;1;2;1;90;2; ;1;16;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1362
